,Correlation,Feature
26,0.5797767628509378,STGcloseness
24,0.5745742699732513,STGdegree
25,0.5707792150376199,STGauthority_score
31,0.5413258983042677,PHGauthority_score
29,0.5311747641331459,STGpagerank
30,0.5275289578822769,PHGdegree
32,0.52195609775092,PHGcloseness
1,0.5206225121130467,DLPFCauthority_score
28,0.5022692915524273,STGcentr_betw
0,0.49757117073150203,DLPFCdegree
35,0.49211036353166304,PHGpagerank
36,0.4709610346538128,IFGdegree
2,0.4689773655276207,DLPFCcloseness
7,0.45917369240834527,TCXauthority_score
41,0.4501486846081401,IFGpagerank
37,0.4499114373975955,IFGauthority_score
38,0.44963782856721785,IFGcloseness
33,0.43872783273160804,PHGeccentricity
34,0.4327687629814195,PHGcentr_betw
5,0.430873452617011,DLPFCpagerank
19,0.42513373938940924,FPauthority_score
40,0.42091150562125207,IFGcentr_betw
8,0.40644581655011613,TCXcloseness
27,0.3968595765626226,STGeccentricity
4,0.3951036253910867,DLPFCcentr_betw
6,0.39452623362095696,TCXdegree
9,0.3830721607050039,TCXeccentricity
20,0.3809294585190997,FPcloseness
15,0.3717559072820186,CBEeccentricity
18,0.37083556136536605,FPdegree
23,0.31768943938373995,FPpagerank
11,0.29483151033837235,TCXpagerank
39,0.2942097344735369,IFGeccentricity
22,0.2827373444126331,FPcentr_betw
10,0.2688925142313458,TCXcentr_betw
21,0.2524639159742274,FPeccentricity
14,-0.21418044875345774,CBEcloseness
17,-0.18292797966001623,CBEpagerank
16,-0.16941299898717646,CBEcentr_betw
3,0.14563278507506244,DLPFCeccentricity
12,-0.11318172785522891,CBEdegree
13,0.08258246655451457,CBEauthority_score
