,IC_h,IC_l,ILB,Labels,Mod1,Mod2,Mod3
0,0.9756915339480302,0.9756915339480302,0.9589270746018441,1,0.9082145850796312,0.9199497066219614,0.9480301760268232
1,0.9953897736797989,0.9953897736797989,0.9932942162615256,2,0.9593461860854987,0.9886839899413243,0.9727577535624476
2,0.9652137468566638,0.9652137468566638,0.8960603520536463,3,0.8378038558256496,0.8487007544006706,0.8424140821458508
3,0.9811399832355406,0.9819782062028499,0.9911986588432523,4,0.9652137468566638,0.9735959765297569,0.9895222129086337
4,0.9551550712489523,0.9559932942162616,0.9777870913663035,5,0.9652137468566638,0.9509639564124057,0.9782062028499581
5,0.9593461860854987,0.960184409052808,0.9811399832355406,6,0.9610226320201174,0.9622799664710813,0.9777870913663035
6,0.980720871751886,0.9811399832355406,0.9861693210393965,7,0.953059513830679,0.9794635373009221,0.9865884325230512
7,0.9857502095557418,0.9853310980720872,0.9907795473595976,8,0.9798826487845766,0.961441743503772,0.9937133277451802
8,0.9719195305951384,0.9727577535624476,0.9853310980720872,9,0.9668901927912825,0.9622799664710813,0.990360435875943
9,0.9589270746018441,0.9647946353730092,0.9840737636211232,10,0.9606035205364627,0.9631181894383906,0.9899413243922883
10,0.9459346186085499,0.9459346186085499,0.9874266554903605,11,0.9639564124057,0.9501257334450964,0.9815590947191953
11,0.9983235540653814,0.9979044425817267,0.9983235540653814,12,0.9974853310980721,0.9937133277451802,0.9979044425817267
12,0.9622799664710813,0.9635373009220453,0.9865884325230512,13,0.9765297569153395,0.9836546521374686,0.9849119865884325
13,0.9715004191114837,0.9727577535624476,0.9870075440067058,14,0.9706621961441744,0.9782062028499581,0.9882648784576697
14,0.9832355406538139,0.9823973176865046,0.9899413243922883,15,0.9840737636211232,0.951802179379715,0.9895222129086337
15,0.9610226320201174,0.9635373009220453,0.9874266554903605,16,0.9769488683989941,0.9534786253143336,0.9840737636211232
16,0.9471919530595139,0.9476110645431685,0.9664710813076278,17,0.9765297569153395,0.9580888516345348,0.9794635373009221
17,0.9811399832355406,0.9819782062028499,0.9899413243922883,18,0.987845766974015,0.9656328583403185,0.9849119865884325
18,0.9765297569153395,0.9769488683989941,0.9895222129086337,19,0.9748533109807209,0.9698239731768651,0.987845766974015
19,0.9773679798826488,0.9769488683989941,0.9865884325230512,20,0.9823973176865046,0.971081307627829,0.9786253143336128
