,IC_h,IC_l,ILB,Labels,Mod1,Mod123,Mod2,Mod3
0,0.9975,0.998,0.9875,0,0.956,0.991,0.98,0.9885
1,0.99,0.985,0.98,1,0.9615,0.99,0.9525,0.983
2,0.997,0.998,0.9885,2,0.9585,0.995,0.9775,0.988
3,0.992,0.9935,0.9825,3,0.9605,0.9855,0.9755,0.9825
4,0.9945,0.992,0.981,4,0.9545,0.9945,0.9675,0.9905
5,0.9945,0.992,0.9865,5,0.9645,0.99,0.976,0.984
6,0.994,0.996,0.98,6,0.9645,0.9955,0.94,0.9915
7,0.9965,0.9935,0.988,7,0.961,0.995,0.9715,0.991
8,0.9945,0.9975,0.9855,8,0.9565,0.9885,0.9795,0.98
9,0.994,0.9815,0.9835,9,0.97,0.987,0.9325,0.9825
